timestamp,asset_id,price,size,side,best_bid,best_ask
1771591958045,NO,0.36,447,SELL,0.26,0.27
1771591958049,YES,0.73,996.17,BUY,0.73,0.74
1771591958049,NO,0.27,996.17,SELL,0.26,0.27
1771591958051,NO,0.16,514.04,BUY,0.26,0.27
1771591958051,YES,0.84,514.04,SELL,0.73,0.74
1771591958061,YES,0.73,884.09,BUY,0.73,0.74
1771591958061,NO,0.27,884.09,SELL,0.26,0.27
1771591958062,YES,0.7,605.64,BUY,0.73,0.74
1771591958062,NO,0.3,605.64,SELL,0.26,0.27
1771591958063,NO,0.14,496,BUY,0.26,0.27
1771591958063,YES,0.86,496,SELL,0.73,0.74
1771591958064,YES,0.76,159.04,SELL,0.73,0.74
1771591958064,NO,0.24,159.04,BUY,0.26,0.27
1771591958068,YES,0.73,879.09,BUY,0.73,0.74
1771591958068,NO,0.27,879.09,SELL,0.26,0.27
1771591958069,YES,0.6,454,BUY,0.73,0.74
1771591958069,NO,0.4,454,SELL,0.26,0.27
1771591958071,NO,0.22,1358,BUY,0.26,0.27
1771591958071,YES,0.78,1358,SELL,0.73,0.74
1771591958071,YES,0.68,546,BUY,0.73,0.74
1771591958071,NO,0.32,546,SELL,0.26,0.27
1771591958071,YES,0.69,573.5,BUY,0.73,0.74
1771591958071,NO,0.31,573.5,SELL,0.26,0.27
1771591958071,YES,0.7,595.64,BUY,0.73,0.74
1771591958071,NO,0.3,595.64,SELL,0.26,0.27
1771591958075,YES,0.73,874.09,BUY,0.73,0.74
1771591958075,NO,0.27,874.09,SELL,0.26,0.27
1771591958077,YES,0.7,601.64,BUY,0.73,0.74
1771591958077,NO,0.3,601.64,SELL,0.26,0.27
1771591958081,YES,0.73,869.09,BUY,0.73,0.74
1771591958081,NO,0.27,869.09,SELL,0.26,0.27
1771591958082,NO,0.21,361.75,BUY,0.26,0.27
1771591958082,YES,0.79,361.75,SELL,0.73,0.74
1771591958083,YES,0.81,466,SELL,0.73,0.74
1771591958083,NO,0.19,466,BUY,0.26,0.27
1771591958083,YES,0.69,553.5,BUY,0.73,0.74
1771591958083,NO,0.31,553.5,SELL,0.26,0.27
1771591958084,YES,0.66,429,BUY,0.73,0.74
1771591958084,NO,0.34,429,SELL,0.26,0.27
1771591958084,YES,0.78,1338,SELL,0.73,0.74
1771591958084,NO,0.22,1338,BUY,0.26,0.27
1771591958086,NO,0.3,581.64,SELL,0.26,0.27
1771591958086,YES,0.7,581.64,BUY,0.73,0.74
1771591958087,YES,0.82,301,SELL,0.73,0.74
1771591958087,NO,0.18,301,BUY,0.26,0.27
1771591958088,YES,0.7,591.64,BUY,0.73,0.74
1771591958088,NO,0.3,591.64,SELL,0.26,0.27
1771591958089,NO,0.22,1323,BUY,0.26,0.27
1771591958089,YES,0.78,1323,SELL,0.73,0.74
1771591958089,YES,0.81,446,SELL,0.73,0.74
1771591958089,NO,0.19,446,BUY,0.26,0.27
1771591958089,YES,0.69,533.5,BUY,0.73,0.74
1771591958089,NO,0.31,533.5,SELL,0.26,0.27
1771591958094,YES,0.73,864.09,BUY,0.73,0.74
1771591958094,NO,0.27,864.09,SELL,0.26,0.27
1771591958095,NO,0.28,153.95,SELL,0.26,0.27
1771591958095,YES,0.72,153.95,BUY,0.73,0.74
1771591958096,YES,0.8,299.77,SELL,0.73,0.74
1771591958096,NO,0.2,299.77,BUY,0.26,0.27
1771591958096,YES,0.68,526,BUY,0.73,0.74
1771591958096,NO,0.32,526,SELL,0.26,0.27
1771591958101,YES,0.73,859.09,BUY,0.73,0.74
1771591958101,NO,0.27,859.09,SELL,0.26,0.27
1771591958105,YES,0.73,854.09,BUY,0.73,0.74
1771591958105,NO,0.27,854.09,SELL,0.26,0.27
1771591958107,YES,0.7,597.64,BUY,0.73,0.74
1771591958107,NO,0.3,597.64,SELL,0.26,0.27
1771591958111,YES,0.73,849.09,BUY,0.73,0.74
1771591958111,NO,0.27,849.09,SELL,0.26,0.27
1771591958112,NO,0.25,225.91,BUY,0.26,0.27
1771591958112,YES,0.75,225.91,SELL,0.73,0.74
1771591958113,NO,0.25,220.91,BUY,0.26,0.27
1771591958113,YES,0.75,220.91,SELL,0.73,0.74
1771591958116,YES,0.73,844.09,BUY,0.73,0.74
1771591958116,NO,0.27,844.09,SELL,0.26,0.27
1771591958120,YES,0.73,839.09,BUY,0.73,0.74
1771591958120,NO,0.27,839.09,SELL,0.26,0.27
1771591958122,NO,0.23,379.5,BUY,0.26,0.27
1771591958122,YES,0.77,379.5,SELL,0.73,0.74
1771591958123,YES,0.77,394.5,SELL,0.73,0.74
1771591958123,NO,0.23,394.5,BUY,0.26,0.27
1771591958123,NO,0.35,424,SELL,0.26,0.27
1771591958123,YES,0.65,424,BUY,0.73,0.74
1771591958124,NO,0.19,426,BUY,0.26,0.27
1771591958124,YES,0.81,426,SELL,0.73,0.74
1771591958127,YES,0.73,834.09,BUY,0.73,0.74
1771591958127,NO,0.27,834.09,SELL,0.26,0.27
1771591958128,NO,0.25,230.91,BUY,0.26,0.27
1771591958128,YES,0.75,230.91,SELL,0.73,0.74
1771591958129,NO,0.13,475,BUY,0.26,0.27
1771591958129,YES,0.87,475,SELL,0.73,0.74
1771591958130,NO,0.16,519.04,BUY,0.26,0.27
1771591958130,YES,0.84,519.04,SELL,0.73,0.74
1771591958131,YES,0.68,531,BUY,0.73,0.74
